source_pdf,sequence,citation
US7014930.pdf,1,"Jahn, “Physics of Electric Propulsion”, pp. 126-130 (1968)."
US7014930.pdf,2,"US 2003/O143442 A1              Jul. 31, 2003"
US7014930.pdf,3,"Belogub et al., “Petrol-Hydrogen Truck With Load-Carrying Capacity 5 Tons”, J. Hydrogen Energy, Vol. 16, No. 6, pp. 423-426 (1991), no month available."
US7014930.pdf,4,"Breshears et al., “Partial Hydrogen Injection Into Internal Combustion Engines”, Proceedings of the EPA 1: Sympo and East Europe', pp. 269-300, no month/yr available."
US7014930.pdf,5,"Review and Required Research', PD-vol. 33, Fossile Fuel"
US7014930.pdf,6,"Combustion, ASME, pp. 1-9 (1991), no month available."
US7014930.pdf,7,"Czernichowski et al., “Multi-Electrodes High Pressure Glid G"
US7014930.pdf,8,"di   f Worksh as and vapor incinerauon, Proceedings of workshop on Plasma Destruction of Wastes, France, pp. 1-13 (1990), no"
US7014930.pdf,9,"Das, “Exhaust Emission Characterization of Hydrogen-Op Techniques”, Int. J. Hydrogen Energy, Vol. 16, No. 11, pp. 765-775 (1991), no month available."
US7014930.pdf,10,"Das, “Hydrogen Engines: A View of the Past and a Look into the Future”,s: Int. J. of Hydrogen Energy, vol. 15, No. 6, pp. 425-443 (1990), no month available."
US7014930.pdf,11,"Das, “Fuel Induction Techniques for a Hydrogen Operated Engine”, Int. J. of Hydrogen Energy, vol. 15, No. 11 (1990),"
US7014930.pdf,12,"Deluchi, “Hydrogen Vehicles: An Evaluation of Fuel Stor Costs”, Int. J. Hydrogen Energy, vol. 14, No. 2, pp. 81-130 (1989), no month available."
US7014930.pdf,13,"Ducloset al., “Diagnostic Studies of a Pinch Plasma Accel erator”, AIAA Journal, vol. 1, No. 11, pp. 2505-2513 (Nov."
US7014930.pdf,14,"Feucht et al., “Hydrogen Drive for Road Vehicles-Results from the Fleet Test Run in Berlin', Int. J. Hydrogen Energy, vol. 13, No. 4, pp. 243-250 (1988), no month available."
US7014930.pdf,15,"Finegold et al., “Dissociated Methanol as a Consumable Hydride for Automobiles and Gas Turbines”, pp. 1359–1369,"
US7014930.pdf,16,"Hall et al., “Initial Studies of a New Type of Ignitor: The Railplug"" -SAE Paper 912319, pp. 1730-1746 (1991), no"
US7014930.pdf,17,"Houseman et al., “Hydrogen Engines Based On Liquid"
US7014930.pdf,18,"Fuels, A Review”, G.E., Proc., 3 ""World Hydrogen Energy Conf., pp. 949-968 (1980), no month available."
US7014930.pdf,19,"Houseman, et al., “Two Stage Combustion for Low Emis sions Without Catalytic Converters”, Proc. of Automobile"
