source_pdf,record_type,patent_number,kind_code,issue_date,inventor_or_assignee,country_code,foreign_document,foreign_kind
US7014930.pdf,foreign_patent,,,6/1924,,DE,237120,A1
US7014930.pdf,us_patent,"4,645,521",A,2/1987,Freesh,,,
US7014930.pdf,us_patent,"5,143,025",A,9/1992,Munday,,,
US7014930.pdf,us_patent,"5,159,900",A,11/1992,Dammann,,,
US7014930.pdf,us_patent,"5,409,785",A,4/1995,Nak,,,
US7014930.pdf,us_patent,"5,412,946",A,5/1995,Oshima et al.,,,
US7014930.pdf,us_patent,"5,425,332",A,6/1995,Rabinovich et al.,,,
US7014930.pdf,us_patent,"5,437,250",A,8/1995,Rabinovich et al.,,,
US7014930.pdf,us_patent,"5,441401",A,8/1995,Yamaguro et al.,,,
US7014930.pdf,us_patent,"5,445,841",A,8/1995,Arendt et al.,,,
US7014930.pdf,us_patent,"5,451,740",A,9/1995,Hanus et al.,,,
US7014930.pdf,us_patent,"5,560,890",A,10/1996,Berman et al.,,,
US7014930.pdf,us_patent,"5,599,758",A,2/1997,Guth et al.,,,
US7014930.pdf,us_patent,"5,660,602",A,8/1997,"Collier, Jr. et al.",,,
US7014930.pdf,us_patent,"5,813,222",A,9/1998,Appleby,,,
US7014930.pdf,us_patent,"5,826,548",A,10/1998,"Richardson, Jr.",,,
US7014930.pdf,us_patent,"5,845,485",A,12/1998,Murphy et al.,,,
US7014930.pdf,us_patent,"5,847,353",A,12/1998,Titus et al.,,,
US7014930.pdf,us_patent,"5,852,927",A,12/1998,Cohn et al.,,,
US7014930.pdf,us_patent,"5,887,554",A,3/1999,Cohn et al. .................... 123/3,,,
US7014930.pdf,us_patent,"5,894,725",A,4/1999,Cullen et al.,,,
US7014930.pdf,us_patent,"5,910,097",A,6/1999,Boegner et al.,,,
US7014930.pdf,us_patent,"6,012,326",A,1/2000,Raybone et al.,,,
US7014930.pdf,us_patent,"6,014,593",A,1/2000,Grufman,,,
US7014930.pdf,us_patent,"6047,543",A,4/2000,Caren et al.,,,
US7014930.pdf,us_patent,"6,048,500",A,4/2000,Caren et al.,,,
US7014930.pdf,us_patent,"6,082,102",A,7/2000,Wissler et al.,,,
US7014930.pdf,us_patent,"6,122,909",A,9/2000,Murphy et al.,,,
US7014930.pdf,us_patent,"6,125,629",A,10/2000,Patchett,,,
US7014930.pdf,us_patent,"6,130,260",A,10/2000,Hall et al.,,,
US7014930.pdf,us_patent,"6,176,078",B1,1/2001,Bako et al.,,,
US7014930.pdf,us_patent,"6,235,254",B1,5/2001,Murphy et al.,,,
US7014930.pdf,us_patent,"6,248,684",B1,6/2001,Yavuz et al.,,,
US7014930.pdf,us_patent,"6,284,157",B1,9/2001,Eliasson et al.,,,
US7014930.pdf,us_patent,"6,311,232",B1,10/2001,Cagle et al.,,,
US7014930.pdf,us_patent,"6,322,757",B1,11/2001,Cohn et al.,,,
US7014930.pdf,foreign_patent,,,7/1982,,DE,3O 48 540,
US7014930.pdf,foreign_patent,,,7/1986,,DE,237120,A1
US7014930.pdf,foreign_patent,,,9/1996,,DE,1951O 804,
US7014930.pdf,foreign_patent,,,5/1998,,DE,19644864,
US7014930.pdf,foreign_patent,,,5/1998,,DE,19644864,A1
US7014930.pdf,foreign_patent,,,7/1999,,DE,19757 936,
US7014930.pdf,foreign_patent,,,1/2001,,DE,19927518,
US7014930.pdf,foreign_patent,,,12/1983,,EP,OO96538,
US7014930.pdf,foreign_patent,,,8/1985,,EP,O153116,
US7014930.pdf,foreign_patent,,,5/1992,,EP,O45922,A1
US7014930.pdf,foreign_patent,,,5/1992,,EP,O485922,A1
US7014930.pdf,foreign_patent,,,8/2000,,EP,1O3O395,
US7014930.pdf,foreign_patent,,,12/2000,,EP,1057998,
US7014930.pdf,foreign_patent,,,7/1987,,FR,2593493,
US7014930.pdf,foreign_patent,,,3/1989,,FR,2620436,
US7014930.pdf,foreign_patent,,,2/1930,,GB,3.55210,
US7014930.pdf,foreign_patent,,,2/1971,,GB,1221.317,
US7014930.pdf,foreign_patent,,,9/1991,,GB,2241746,
US7014930.pdf,foreign_patent,,,3/1976,,JP,S1 2.7630,
US7014930.pdf,foreign_patent,,,8/1976,,JP,S1 2.7630,
US7014930.pdf,foreign_patent,,,5/1990,,JP,O2 121300,
US7014930.pdf,foreign_patent,,,8/1991,,JP,O31953OS,
US7014930.pdf,foreign_patent,,,9/1993,,JP,OS 231242,
US7014930.pdf,foreign_patent,,,11/1995,,JP,O7 292372,
US7014930.pdf,foreign_patent,,,11/1989,,SU,1519762,
US7014930.pdf,foreign_patent,,,11/1989,,SU,SU 1519762,
US7014930.pdf,foreign_patent,,,1/1985,,WO,WO 85/OO159,
US7014930.pdf,foreign_patent,,,2/1994,,WO,WO 94/03263,
US7014930.pdf,foreign_patent,,,3/1995,,WO,WO95/06 194,
US7014930.pdf,foreign_patent,,,8/1996,,WO,WO 96/24441,
US7014930.pdf,foreign_patent,,,10/1998,,WO,WO 98/45582,
