start	end	text
0	2360	This is Talk for Food.
6920	10380	Your portal into quantum possibility.
16780	18200	I'm Adam Abraham.
18880	21480	Each week I'll be your guide on this expedition
21480	24880	where we'll explore the near and far reaches
24880	29080	of this thing called life on Earth and beyond.
30000	47700	talk for food is brought to you by philo's books publishers of i am my body not a freed man an
47700	53340	emancipation proclamation and producers of understanding mms conversations with jim
53340	57760	the only feature-length documentary on the subject of the miracle mineral supplement
57760	59200	on Earth.
68360	71780	We don't get any liquid fuel to our engines or furnaces.
72260	73320	All it is is a vapor.
73600	77120	By pulling a vacuum, which has been removed from most books,
77640	83120	from 1955 on, all vacuum technology that would help mankind was removed.
84100	86740	Actually, this is not a plastic bottle.
86740	92260	it is combination of gas diesel and kerosene and if you put this in an
92260	97420	electric element underneath it and let it melt the vapors are going to get off
97420	102460	it or the vapors for gas diesel kerosene so if you redistill this back into fuel
102460	106800	you have the fuel to run engines power plants whatever you want with no
106800	112900	pollution if you're using a geek so why are we burying all the plastic and
112900	118400	garbage bits government doesn't want to see this technology is that it replaced they're pumping
118400	122480	more oil out they're buying more oil and they're trucking it and flipping it around
122480	132600	how about that of a teaser to introduce our guest for today's show those are the words and thoughts
132600	140240	of one paul pantone he was our guest on the show oh and before we get there hello again everyone
140240	153540	Thank you for joining us again for this week's edition of Talk for Food here on WebTalkRadio.net and iTunes and on video, wherever you are seeing it on video.
154100	159380	I'm Adam Abraham, and this is our time for journeying into realms of quantum possibility.
159380	180180	This is where we go inside. We go into the deepness of inner space to realize, find, connect with, and express the power that is within us to make the major and the all-important differences in what we see outside.
180800	189500	I have become, I am part of, I guess you say, a wave of people who are starting to see how to make change.
189720	192860	I've explored it for a while. I will continue to.
192940	196800	My life is literally going to be about change. It's been about it.
196800	203440	And not simply anarchist change, not simply destroying.
204580	209440	It's basically how do you recreate what you want in life?
209440	238320	Not something that takes away from others, not something that is meting out some vengeance for some perceived insults, not in anger, but simply creating for the joy of it, creating a life, creating an experience, creating adventure for the simple fact that you can.
238880	243260	Having experiences that are meaningful to you.
243580	244700	Maybe there is a vision.
244860	246880	We are creative beings.
247000	247980	We're creative people.
248680	252960	We create by, one, the desire to do so.
253740	256120	Secondly, by the intention to do so.
256560	258580	And thirdly, you might say by the will.
259220	263660	And this is not something we tend to teach.
264260	268060	It certainly has taken me a while to kind of get to be really clear
268060	275740	that that's how we do it because the imagination we use our imaginations to create our reality to
275740	284280	create our world and our imagination has no judgment as to the rightness the wrongness
284280	291800	the goodness or the bad of it it is simply what it is because it is all simply information
291800	301260	nothing better nothing worse it all needs to be in order for any of it to be so within that
301260	307960	milieu how often do you get to someone using the word milieu in a sentence uh-huh uh in that milieu
307960	319140	we have full spectrum full potential full scope full list of options of what we can do in terms
319140	329900	possibilities. And all of them exist when we exist. So, if you're out there in pain right now
329900	337860	and you're in disease of some type, there is a part of you that is not. All right? If you are
337860	343860	right now scuffling to make ends meet, there is a part of you that's doing just fine.
344620	347820	Now, how do you get to that part?
348500	353160	Well, the first part is that if you think that what you're doing right now is all there is,
353540	355440	you're stuck there, okay?
356040	358180	But you're stuck by your own sticking.
358860	362920	You're stuck by your own thinking and your own believing.
363480	365220	You can change your beliefs.
365380	366960	You can change how you think.
366960	368720	You can change your energy.
368720	379740	And just, I won't say it's as simply as changing channels as you would on a dial of a radio or a TV, but the principles are the same.
380100	387280	All of those other realities, all those other options exist the moment that you exist.
387900	404820	And so if you at least become aware, if sometimes, you know, say you stumbled across, stumbled upon this conversation and you hear this guy talking about, gee, there's a part of you that actually is not dealing with this problem that you're so stuck in right now.
405300	407520	Well, it's you too.
408820	411060	Not you too, but it's you too.
411060	434280	And if you want to be expressing that portion of you in the moment, here and now, you've got to resonate with the thinking and with the vision and with the scope of possibilities and potentials that that part of you feels is okay.
434280	438800	because a part of you that you're expressing right now
438800	441600	apparently don't think it's possible or it's okay.
443640	445600	It's all possible.
445860	446900	It's all okay.
447520	450580	And your imagination has no judgment whatsoever.
451100	455640	And it will create for you what you create,
455640	461300	what you imagine, what you sense is possible for you.
461300	469420	and so when you change what you sense is possible for you you will then change your experience of
469420	475800	what happens of what you what comes to you what moments become yours in space and time
475800	482020	so that's a little piece that's that's part of the scenario and i don't know gee i got into that but
482020	491260	i started off with a clip from paul pantone and paul i met at the extraordinary technology
491260	499740	conference, and we interviewed him. I interviewed him. I met him. We had a great time. I want to
499740	504900	tell you right now, he wasn't all that happy with how I did my interview, how I showed it,
504900	511220	how I presented it, because I talk too much, all right? Well, it's my show, all right? I make no
511220	516240	apologies for doing that. If I got something to say, I got something to say, and I do it.
516240	519780	but he did like it well enough
519780	523520	or he saw the potential of me well enough
523520	526640	to invite me to come and spend more time with him
526640	529360	and oh did I jump at that
529360	532180	Paul is an amazing man
532180	534800	he has done some amazing things
534800	537040	and he has seen some amazing things
537040	538340	that are possible
538340	541340	and he's doing what he can
541340	543320	as we are all doing what we can
543320	546180	to make changes occur
546180	553000	and what not just again destroying change i guess that's how i got in that tangent in the first
553000	562040	place basically changes that are beneficial changes that will actually um resolve many of
562040	572240	the concerns that we have environmentally energy wise he has come he has answers and yet his light
572240	578540	if you will, has in a lot of respects been shunned. He developed something he calls GEET,
578680	589980	G-E-E-T, Global Environmental Energy Technology. And I acknowledge, I said before, I didn't know
589980	595860	what it was then. I have a much better feeling for it now after having spent some time with him.
595860	600060	And so what we're going to do on this show is a couple of things.
600200	611160	You, as listeners and viewers of Talk for Food, you're getting a preview because now you're going to hear my conversation with him and our dialogue.
611580	619260	Because this show is going to be my conversation with Paul Pantone on his ground in Oklahoma.
619700	623940	I went and spent several days with him and I spent two days shooting.
623940	625920	I got about four hours of footage.
626680	629500	Now, here's my plan, and I'm telling you this now.
629620	631200	You can think about it right now.
631280	632440	You can plan on it now.
633320	638260	You're getting my dialogue here, and you hear the commercials and everything else
638260	640360	because this is my radio show, all right?
640880	646100	But what you are hearing and or seeing, this is all done on camera,
646100	656780	is going to be part of a video, a four DVD video to be called Indelible Promise.
657480	663580	And I'll talk about why I came up with that name because there is something very much indelible
663580	673060	about what Paul has to say. And it is written on our souls. As far as I'm concerned, it cannot be
673060	680740	erased. It cannot be smudged off. It can't be ignored or pushed under a carpet. There are some
680740	687400	things about life that Paul Pantone knows and that he sat down with me to share. We sat next
687400	692200	to a window in front of a refrigerator and that's what you're going to see. The light from the window
692200	699100	next to him and the refrigerator behind him. But listen to what the man has to say. So we're going
699100	704060	take a break. I'm going to give you a couple additional beginnings here and there. But when
704060	712540	we come back on the other side, we're going to hear and visit with Paul Pantone down in the
712540	721740	heartland when Talk for Food returns on web at talkradio.net. American adventurer Jim Humble
721740	726720	discovered how a simple chemical compound and powerful oxidizer, chlorine dioxide, could be
726720	733200	effectively used to reduce toxicity within the human body the buzz on jim's discovery mms miracle
733200	739400	mineral supplement is spreading but not the understanding until now understanding mms
739400	745680	conversations with jim humble is a new dvd available only at understanding-mms.com
745680	751280	the understanding mms dvd will show how you can be part of your own solution to toxicity
751740	753060	Here's the documentary producer.
753380	765700	This is Adam Abraham inviting you to get informed and help others to be informed of this amazing way to reduce the body's load of toxins, harmful microorganisms and pathogens from the waters inside our body.
765700	770700	Get your understanding today for only $29.95 at understanding-mms.com.
771520	773700	That's understanding-mms.com.
774700	777880	Use passcode RBN to receive 10% off.
778020	780040	Our health really depends on it.
781280	802320	all right this edition of this segment of talk for food get started on web talk radio dot net
802320	809760	with adam abraham and okay i've given you the intro to paul pantone developer of geet
810420	815080	And I'll tell you, his website is geetinternational.com, G-E-E-T.
816320	818320	I spent several days with him.
818760	821960	And the first part of our conversation, oh, I'll tell you this.
822340	825720	The first day, I spent three days down there.
825780	829440	The first day, we just talked and talked and talked and talked.
829500	832240	And I frankly wish I had that on camera.
832340	834620	He told me just about some amazing things.
834620	839440	But, okay, that's just going to have to be some other time and another visit.
