start	end	text
0	12400	Bonjour, mon nom est Frédéric Gauthier. On est le 19 octobre 2005. Je vais vous présenter
12400	18360	le réacteur Pantone. Donc, je l'utilise d'abord comme tondeuse, une tondeuse Mastercraft
18360	24120	Eager One. Ensuite de ça, j'ai remplacé le carburateur par le réacteur Pantone que
24120	30240	you can see here. And the reservoir of essence, I will replace it by the pump. So, you have
30240	34940	an entry here to put a little bit of essence for the party. You have two sorties for the
34940	40560	exhaust. And you have a little entry for the pump. So, I will put all my products here.
40560	46640	So, I will start the demonstration. I will show you first of all that my reservoir of
46640	66640	is completely empty. So, there is nothing in it. So, I'm going to put it all in place.
66640	81640	Okay, so what I'm going to do today is a demonstration of the Laca Pantone, but with different products.
81640	87640	So, the products that you use at home. Jean-Louis Nodin had made a demonstration with 25% of
87640	94640	essence and 75% of water. In my case, I will use 25% of essence and I will use different
94640	95640	different products.
95640	101640	Donc, j'ai amené du ketchup, de l'huile de thang, du lait, de la moutarde, sauce aux
101640	108640	prunes, ça c'est mon essence, du jus d'orange, du pepsi, donc ensuite de ça, j'ai de la
108640	109640	moutarde aussi.
109640	112640	On va faire un beau petit mélange puis on va s'amuser avec ça.
112640	114640	Ok, tout d'abord, je vais remplir les ingrédients.
114640	119640	Donc, je vais mettre mon entonnoir.
119640	132640	Ok, donc on va commencer par le jus d'orange, donc on va mettre du jus d'orange et voilà pour le jus d'orange.
132640	140640	Ensuite de ça, on va y aller avec du persil, donc on va mettre du persil dedans.
140640	169580	Ok, et voilà, on va mettre le restant, donc du pepsi, ensuite de ça, on va y aller avec le lait 3.25%, et voilà, donc on y met du lait, ok, on va tomber ensuite de ça avec du ketchup maison, donc on met du ketchup là-dedans,
170640	184840	Et voilà, pas obligé d'en mettre beaucoup. C'est juste pour un test. Naturellement, de la moutarde. Donc, on y va avec la moutarde. Et voilà. OK.
184840	206360	Ensuite de ça, on peut aller avec de l'huile deux temps. Donc, de l'huile deux temps. Ensuite de ça, un petit peu de sauce au prune. Donc, la sauce que vous mettez sur les egg rolls. Et voilà. Donc, la sauce au prune.
206360	212000	Et finalement, je prends l'essence. Donc, comme vous pouvez le voir, mon essence est essuyé
212000	218360	d'huile. Il y a des résidus dedans, un petit peu de peinture. Alors, ce n'est pas grave.
218360	227360	On met ça dans notre arbre avec tous les résidus et il n'y a pas de problème. Et voilà.
227360	240500	Donc, mon mélange est fini. Ok, donc je vais remettre mon bouchon. Alors, au cours de la
240500	244640	démonstration, je vais faire plusieurs tests. Donc, je ne pourrais pas vous parler étant
244640	250520	donné le bruit. Ce que je vais faire en gros, c'est où est-ce que vous aviez les deux sorties
250520	256080	pour l'exhaust. Donc, je vais prendre un petit chiffon ici et je vais les mettre devant pour
256080	262240	vous montrer la sortie des gaz. Ensuite je vais les fermer carrément et vous allez voir le moteur
262240	269820	va continuer à tourner pareil. Ok, donc on va commencer l'experience. Donc je mets un petit peu
269820	277400	Essence to it, now. And that's it.
299820	329800	Thank you.
329820	359800	So, let's go.
359820	389800	Thank you.
389820	419800	Thank you.
419820	449800	I'll see you next time.
449820	479800	So, let's go.
479820	509800	Thank you.
509820	514820	Et voilà, c'était le test du réacteur Pantone.
