start	end	text
0	8000	Okay, so we are getting to the second part of the test.
8000	11000	I'm going to show you what we have put inside.
11000	13000	We're going to put it inside the back.
13000	17000	We're going to put it inside and we're going to start the tondeur.
17000	19000	I'm going to remove my bouchon.
23000	26000	I'm going to take my bulleur.
26000	32000	Look at the back, I'll show you a little bit of the texture, and here we go.
44000	46000	And here we go.
47000	52000	So, my puller is wide, so I'll show you how it is.
52000	55600	Ok, donc on peut voir qu'il y a toutes sortes de choses qu'on met à l'intérieur.
56120	60060	Donc, ce que je vais faire maintenant, je vais le remettre dedans.
65560	67020	Je refais mon tuyau.
70539	71260	Et voilà.
72680	73940	Donc, je vais resserrer le tout.
73940	81940	Then, I will put the products in it.
81940	85940	I'll take my mattoe noire.
85940	88940	And here.
88940	92940	So, I'm going to put everything in it.
92940	108940	So you can see the texture, and here it is.
108940	113940	So it's done.
113940	119940	I'm going to put my bouchon.
119940	135940	So what I'm going to do, I'm going to start the tondeuse, she's still very hot, so I'm going to add a little bit of water to start the tondeuse.
135940	137940	And here we go.
239940	251320	And that was the test of the Pantone reactor.
