start	end	text
0	29000	The idea of an intelligent energy that recognizes life,
29000	31400	Another word for that would be plasma.
31840	31940	Yeah.
32940	36640	Plasma is recognized as the fourth state of matter.
37580	41920	It was about 1983, I believe June of 1983 in Moscow,
42640	50900	scientists from all over the world all gathered to discuss whether or not they would accept plasma as that fourth state of matter.
51700	56160	There were some that still were holding off saying they didn't believe it was a state of matter.
56880	63000	Well, after many weeks of arguing, they all concluded that plasma is, in fact, the fourth state of matter
63000	64880	and should be recognized for that.
65840	70720	They had, then, another week of lectures on plasma that went on,
70720	75700	and the book of Al Bateman and Super High Frequency Plasma Generators was created there.
76420	79060	One of the scientists that got up drew a picture.
80080	83180	If you looked at that book, I think it's on about page 26,
83180	85720	there's a picture of what he said
85720	88140	was what the other scientists were saying
88140	89180	was a plasma generator
89180	91060	and what they were saying
91060	93120	was that as the plasma
93120	96840	or fuel vapor is fed up into the tube
96840	98720	it has to be sealed off here
98720	101180	and then put under a high amount of pressure
101180	103500	and then bombarded with electrons
103500	105320	so that when it was released at the other end
105320	108080	the new plasma fuel would come out
108080	109520	and burn very efficiently.
110480	114920	Well, one of the 600 scientists at that conference said,
115020	116020	I believe you're all wrong.
116520	119660	I believe if you use a vacuum to pull it into the chamber,
120080	122540	that it would generate its own plasma field.
123740	127160	He was laughed off the stage and asked to leave the conference.
127720	129080	It was so preposterous.
129300	132840	But the same week that that was happening in Moscow,
133380	137000	I built the first blue engine, which is up against the wall over here,
137560	139240	and it did run with a vacuum.
139520	141760	and it was self-generated.
141760	145280	I just didn't know it was called a plasma generator
145280	152360	for ten years.
152360	156680	Let's talk about how the GEET fuel processor actually works and what it does
156680	158300	and the principle behind it.
158300	160400	Well, it's an acceleration chamber.
160400	166280	Dr. William Hsu made the comparison back in about 1996-97.
166280	170840	He worked 20 years of his life on a seven-mile circle, underground in Beijing.
170840	176120	And when he came over and looked at ours, he held up the rod that's in the center of it, makes it all work,
176180	180740	and he says, what you do for 25 cents, we do for billions of dollars.
181700	183780	The big difference is yours works.
185000	186800	You're talking about an acceleration chamber?
186920	187680	An accelerator.
188460	193260	You found a way of accelerating the molecules and exciting them and exchanging heat in such a way
