start	end	text
0	2400	This is Talk for Food.
6920	10420	Your portal into quantum possibility.
16820	18240	I'm Adam Abraham.
18900	21540	Each week I'll be your guide on this expedition
21540	24940	where we'll explore the near and far reaches
24940	29100	of this thing called life on Earth and beyond.
30000	47740	talk for food is brought to you by philo's books publishers of i am my body not a freed man an
47740	53380	emancipation proclamation and producers of understanding mms conversations with jim
53380	57800	the only feature-length documentary on the subject of the miracle mineral supplement
57800	59240	on Earth.
69860	71820	Yes, there are many things we can do
71820	74420	to control a tornado.
74560	76800	If you want to divert it from hitting buildings and all,
77100	78340	if you can just get ahead of it,
78540	80300	then you turn on a specific frequency
80300	83140	and it will pull that tornado any direction you want
83140	84520	until it dissipates.
85480	86860	So we could control it.
86860	96080	Well, if we're talking about controlling tornadoes and stopping them, you know this is an idle talk, so it must be Talk for Food.
96240	105080	Hello again, everyone. Thank you for joining us again, for tuning in to Talk for Food on web at talkradio.net with Adam Abraham.
105080	122500	And yet, you're listening to, I started you off with a little teaser, something more of our conversation with Paul Pantone, the developer of Geet Technology, Global Environmental Energy Technology.
123400	131420	And this is part of our conversation that we had, which in fact is going to be part of a DVD called Indelible Promise.
131420	142960	Now, you are hearing portions of that right here, right now as a listener and viewer of Talk for Food, but this is going to be part of a DVD.
142960	162340	Paul Pantone has been for 20 some odd years developing what he called Geet, and methods that are based on natural phenomenon, natural laws, laws of nature, oneness with respect of nature.
162740	167840	That's what Geet is, is what it does, and it affects many, many elements of life.
167840	177940	And so you're hearing some of this, seeing some of this as it is being recorded as a function and part of our radio show, our video show.
178320	182780	But this is information that is not widely available.
183200	196720	When you start thinking, in 2011, a tornado basically leveled Joplin, Missouri, causing about $3 billion in damage and 117 lives.
196720	218120	Also in 2011, 178 tornadoes basically went through the state of Alabama, and that one affected, wow, sheesh, it cost 482 lives, I'm reading from CNN Money, and $5 billion in damage.
218120	237200	Now, if there was and is a way, real, honest to God, genuine way to not only control the movement of tornadoes, but basically to nullify them, to stop them in their tracks, do you think, let me put it this way.
237200	252400	Do you think it's better for us to run around and chase the storms and look at them and record them and, you know, get back and forth and play cat and mouse with them, even while lives are at stake?
252760	261680	Or would it be better to take some knowledge, take some action based on some understanding and stop it?
261680	290600	Would it be better to have $3 billion, actually, from these two events, from Joplin, Missouri, and the Alabama tornadoes alone in 2011, $8 billion and almost 600 lives, not to mention the thousands, the tens of thousands of lives that were affected, or would it be better to have taken active, conscious, knowledgeable methods to stop those?
290600	298360	I have to ask you, because Paul Pantone has been presenting this information for some time,
298580	301960	and tornado abatement is just one.
302140	304020	We're thinking of tornadoes right now.
304120	307960	General public is that this is something that we don't have any answers for.
308280	309040	Yes, we do.
309760	316900	Now, are you willing to talk to and respect and listen to people who have studied it and come up with the answers?
316900	329000	Or do they have to come through some particular channel, some particular university, some particular process and authority to say, oh, well, maybe this is, I'm not sure.
329080	331020	Let's get a peer review and see what they say.
332220	336700	You know, the saying and the seeing is in the actual doing and the abating.
336700	348060	And that's something we've been more inclined to put the actual results aside to come up with and to come up with a committee to see what they have to say about it.
348440	353100	Well, at any rate, our conversation today is going to be a continuation.
353720	358700	Our show today is going to be a continuation of our conversation with Paul Pantone.
359560	361220	We're going to take a break now.
361300	362520	We're going to get into it.
362520	365260	and there's more
365260	367560	but I want you to understand and appreciate
367560	371760	there is something to be known
371760	372680	to be understood
372680	374340	and I'm sharing it with you
374340	376460	even though there is a product
376460	379880	that you can share this with other people as well
379880	381740	called Indelible Promise.
381960	383480	You need to hear this
383480	385600	and we're making it available to you.
385660	386420	Let's take a break.
386560	388320	We'll be back with Paul Pantone
388320	389980	and we'll talk about
389980	398420	to become a tornado cowboy when Talk for Food returns on web at talkradio.net.
399560	405080	American adventurer Jim Humble discovered how a simple chemical compound and powerful oxidizer,
405240	409820	chlorine dioxide, could be effectively used to reduce toxicity within the human body.
409820	416040	The buzz on Jim's discovery, MMS, Miracle Mineral Supplement, is spreading, but not the understanding.
416520	417460	Until now.
417460	423860	understanding mms conversations with jim humble is a new dvd available only at understanding
423860	431200	mms.com the understanding mms dvd will show how you can be part of your own solution to toxicity
431200	436520	here's the documentary producer this is adam abraham inviting you to get informed and help
436520	442660	others to be informed of this amazing way to reduce the body's load of toxins harmful microorganisms
442660	445620	and pathogens from the waters inside our body.
445820	451320	Get your understanding today for only $29.95 at understanding-mms.com.
451460	454420	That's understanding-mms.com.
454620	457800	Use passcode RBN to receive 10% off.
457800	459980	Our health really depends on it.
472660	482960	All right, this segment of Talk for Food gets started on webtalkradio.net, also on iTunes with Adam Abraham.
483780	493520	And as you may know, this conversation with Paul Pantone began at the Extraordinary Technology Conference in 2011 in Albuquerque, New Mexico.
493520	506280	It spilled over into an invitation to visit him at his home in Oklahoma, really in the heart of Oklahoma, which I really enjoyed.
506980	512100	And it led to what we are now will become, Indelible Promise.
512720	515880	And you can find that on IndeliblePromise.com.
516000	517900	But you don't have to do that.
518020	519380	You can listen to this now.
519380	526800	Now, Indelible Promise will be available December 1 and on from there.
526800	532080	So depending on what time you are listening to or hearing or viewing this program.
532880	537040	But the conversation, the subject matter is diverse.
537660	545100	We give you a teaser to talk about getting hold of, studying, creating and studying tornadoes.
545100	565840	But it's about understanding how to create them, and not just how to create them, it's really about the dynamics of energy, but more so how to work with them to understand their energies, understand the dynamics that cause them to come into being, also how to stop them.
565840	578980	But there may be even other understandings that we can gain when we come at it from a standpoint of understanding and mastery, as opposed to simply about avoiding some damage.
578980	595600	There may be ways that we can use the energies that are on display, the tremendous amount of energies that are on display in a tornado, in ways that serve humanity, instead of ways that, not say destroy, but certainly disrupt.
595840	599840	So, here it goes, Paul Pantone.
600240	615800	So, the fuel processor is just one of the Geet technologies that can really be, you talk about a paradigm shifter, it can have just an amazing change.
616020	619920	Well, when I got into Geet, I couldn't explain how it worked.
619920	625340	People would ask how it worked, I'd point to it and say, fuel goes in here, clean exhaust comes out there.
625840	626980	What more do you need to know?
627360	627640	Yes.
627880	629680	Well, they needed to know why it worked.
629680	634840	Well, since there is no book in the world on it, I had to start coming up with all the different discoveries
634840	639640	and one at a time documenting each and every one of the discoveries
639640	642420	so that later we could put together the book.
642900	650160	And this is the first draft of the book, which is only 181 discoveries so far that we've made.
650660	653400	And the list will go on and on and on from here.
653400	659360	but things that scientists said could only happen out in space we can recreate right here on the
659360	666520	table a good example of that was we had a gentleman here from europe he had just built his first
666520	671340	engine he wanted to test it and we have a policy the first time you run any engine or furnace you
671340	677020	have to do it outside to see how good it runs make sure there's no gas leaks well he had started his
677020	682440	up outside but he had set it down in a puddle so a little bit of water was running over the top of
682440	687160	board that he had the engine mounted to about 10 minutes later there's a knock at my door in the
687160	692600	office and they said you got to come out right now we've got tornadoes at the back door well
692600	695880	they were going towards the back door i was running to the front door and they're going
695880	700680	no no no it's out here and i said yeah and i'm going out here that's right going out the direction
701320	706920	i don't need to see a tornado personal and up close and he convinced me no they're little tiny
706920	712680	ones they're being produced by the geet that stopped me in my tracks and i turned around i
712680	718360	said what did you just say he said no around the bottom of geet they're forming tornadoes
718360	724380	with that i went to the back to see what was going on my secretaries and my wife everybody's
724380	729740	packed around this engine and they're all out in the rain what the heck is going on so i walk up
729740	735440	real close and lo and behold there's some little 14 16 inch tornadoes where the water was running
735440	741320	across the board very thin you could see a ridge forming a nice round circle and it would start
741320	746340	coming up in the air and doing a wiggle and all of a sudden the funnel cloud would form and it
746340	752700	would come right up to the edge but it wouldn't touch the reactor and one after another as one
752700	756540	would start to weaken a little bit and start moving further away the next one would start
756540	760280	getting bigger and bigger and it'd move in and push him out of the way until it just disappeared
760280	765780	bang it's gone well i saw this and i was going wait a minute there's lightning bolts
765780	773760	inside those tornadoes oh tornado and lightning lightning inside the tornado so i ran back to
773760	777840	the dressing room and i grabbed a coat hanger that had a shirt on it threw the shirt on the
777840	782400	floor ran out there i'm all excited and i take the coat hanger i stick it against the pipe and
782400	789260	down to the tornado and lo and behold i get blown back about 25 feet i'm sitting on my butt with my
789260	797300	hair kind of out wild, my fingers smoking. I went, holy Toledo, those little tiny tornadoes
797300	802500	have a wallop. Get my camera, hurry up, we've got to do this again. Well, my employees started
802500	806320	grabbing me going, no, no, no, boss, you're not going to do that. No, no, give me a rubber
806320	811100	mat to stand on and a wooden plank. Let's insulate ourselves and get me some rubber gloves
811100	816160	and then we'll do it. And I grabbed the welder's helmet so that the flash wouldn't hurt my eyes.
816720	820020	Well, I kept getting over there, and I'd lower the helmet right in place,
820020	823680	and I'd touch that little tornado right to the tip, and bam!
824340	827200	I killed about 43 tornadoes in about 30 minutes.
827700	830360	Ah, so you learned how to create them and how to destroy them.
830360	831800	And how to destroy them.
832260	836840	Now, knowing this, and then years later I see on television,
837020	839680	it was on Discovery or one of the programs where they were saying,
840240	844000	to study tornadoes, we have to send these trucks worth half a million dollars each out
844000	844660	and all these people
844660	845860	and endanger their lives
845860	847300	to study them out in the field.
847400	848880	Then we have to chase them
848880	849540	and we have to find out
849540	850100	where they're going
850100	851700	and we get very little knowledge
851700	852080	from them.
852900	853880	I said, good Lord,
853940	855220	we can build one right now.
855960	856700	It doesn't have to be
856700	857800	more than 40 pounds.
857920	858740	It's about this big
858740	859760	by 10 inches wide,
859820	860840	about two feet tall.
861440	862960	And even girls can pick them up
862960	863440	and carry them.
863500	864280	They're not that heavy.
864800	865700	So we could sit there
865700	866200	and build one
866200	867140	for every university
867140	867620	in the world
867620	869220	that wants to study tornadoes.
869560	871000	But do you see any universities
871000	871920	pounding on my door?
872720	872960	No.
873220	874080	Seemed by favor.
874320	876220	They're running in the other direction, too, it seems.
876420	877760	Well, no, you got it.
878220	879640	They're running towards money, though.
879860	884360	They get government grants to buy the trucks and pay the kids to go out and chase them.
884840	889220	And why not do it right in the classroom where we can do it up close and personal
889220	891260	and control that tornado?
892220	894400	Now, if I can ground a tornado out,
894400	898540	that gave me an immediate idea on how to save a lot of tornado damage and lives.
899300	903940	You're listening to Talk for Food on web at talkradio.net with Adam Abraham.
904260	911380	And you may also be watching, viewing this on YouTube or wherever else we may have this video presentation.
911880	914440	And we're talking with Paul Pantone.
914440	919660	I just have an over-the-shoulder launcher that has a 25-foot tail that drops out of copper.
920060	922360	Nice, flat, wide copper strip that just drops out.
922660	926920	The minute the missile gets into a vacuum to the center of the tornado,
926920	930040	it would immediately do a nosedive into the ground to ground it.
930860	933820	The implosive forces would draw it down, correct?
933840	934120	Correct.
934840	940260	So at that point, you could have tornado stoppers instead of watchers.
941200	941880	Wow.
942360	945740	Different TV show now.
946300	947420	Storm chasers.
947840	949060	Storm killers, yeah.
949200	950180	Storm stoppers, yeah.
950380	951200	That's actually right.
951800	954940	But look at the change that can occur.
954940	966540	We are so accustomed to watching disaster, waiting for disaster, expecting it to hit, all of that, but with no clue as to what to do about it.
967080	978620	So making these discoveries is great, but you need to compile the knowledge, which is why now I'm at 181 pictures and drawings of all the different discoveries.
978620	987580	But we now need to bring in the experts from each field to help me validate each and every one of them as much as we can of what is going on and why.
988180	990940	Since we're not going to find science books out there that haven't.
991700	994960	So we may end up with a large series of books.
996980	1000160	TV has programmed us into believing things.
1000460	1006360	Like in Star Trek, the first episodes, when you see the Enterprise taking off and you hear the sound.
1006360	1013480	well folks there's no sound in a vacuum there's no sound out in space you wouldn't hear it take
1013480	1020240	off but wouldn't be entertainment without the sound right right absolutely wow you mentioned
1020240	1029540	vacuum technology and the education material in that subject just kind of went black
1029540	1035140	somewhere in the 50s about 50 60 years ago if you go back to the 1950s which i've gone to many
1035140	1039780	old bookstores, antique stores, and I bought the old encyclopedias. And they couldn't figure out
1039780	1045840	why somebody would want an old encyclopedia set from 1955. I mean, it isn't worth anything.
1046300	1051140	Oh, there are ornaments in my home. Oh, okay, they helped me load them. For five bucks, you buy a
1051140	1057000	whole set. But when you open it up to Tesla, there was about 50 pages. When you open it up to
1057000	1065160	vacuum technology there was about 150 pages the american vacuum society had all kinds of
1065160	1075600	information in there but 1958 nothing gee it all got erased tesla two paragraphs why it's technology
1075600	1082980	that would open people's minds up to realizing that what we have today is garbage tesla knew
1082980	1087000	how to make a telephone call so he could call anywhere in the world using the earth as a
1087000	1091020	transmitter. And it was a local call, crystal clear. A lot better than
1091020	1095060	my cell phone. Yet today, we still don't get calls as
1095060	1099140	clear as what he had. That was in the 1890s. He built
1099140	1103140	his radio-controlled, remote-controlled boat that he used to take out there
1103140	1107140	in Michigan or New York. The man was many years
1107140	1111260	ahead of his time. So when Dr. Sue and many of the other scientists I met
