start	end	text
560	6100	Utah inventor Paul Pantone has developed what he calls the Geet fuel processor,
6700	14160	a plasma generator similar to a super carburetor that actually appears to run on 80% water and is entirely non-polluting.
15080	20340	This device replaces the carburetor and exhaust and combines them as one unit,
21740	24660	whereas this end of it acts as a miniature refinery,
24660	31520	allowing the engine to run on everything from battery acid and water mix to crude oil right out of the ground.
31520	36020	This is Angola crude, 39.5 gravity.
36020	55800	The exhaust coming down goes around and comes out here at the far end.
55800	61260	The center chamber draws some of the heat from the exhaust, plus this tube takes some
61260	67740	the exhaust gases takes them up into the chamber and bubbles them down to the bottom the bubbles
67740	72940	as it comes through the fuel are brought up to the top of the chamber picked up through a tube
72940	78940	and fed up the center of the exhaust pipe while they're being fed up the exhaust pipe they are in
78940	87260	a vacuum and there is a heat exchange which occurs this process has been argument argued a few times
87260	92780	to be either a plasma field an electro field we do know that it does have a slight radiation which
92780	99180	is not alpha beta or gamma and we do have x-rays to show that whatever is coming from the unit
99180	107340	does get affected different from stainless steel than the regular steel
123500	127580	when the temperature of the exhaust is the same as the air temperature going in
127580	135820	from the air portion up here, normally 1, 3% more oxygen coming out of the tailpipe than there is in the air we're breathing.
138500	139860	And no carbon at all.
140020	140800	Carbon vanishes.
141860	146040	I wouldn't say vanishes, I would say transmute it into some other substance, a lighter element,
146500	150920	because we have an abundance of lighter elements here that are not explained from down here.
151840	155560	But during the heat process, there are molecular changes.
155560	164240	after running this engine from 1983 until now and many times we had it running eight eight eight and
164240	171460	a half hours a day we have never had to change spark plug change the oil or clean it we have
171460	175720	taken the head off three times to inspect the inside of it and it's been spotless
