start	end	text
0	6000	We invited the top 20 engine manufacturers for diesels.
6000	9000	Rolls Royce, Cummins, Cat, Detroit Diesel.
9000	10000	All of them showed up.
10000	13000	We got them all to sign in on our sign in book.
13000	21000	And then we fired up a 480 horsepower diesel engine on junk.
21000	26000	Pickle juice, Mountain Dew, coffee, soda pop, anything we could throw in the fuel tank.
26000	28000	Fired it up, no pollution.
28000	35120	Well, the big corporations didn't send CEOs and presidents that make decisions. They sent their engineers out
37000	40640	Now on film with hidden cameras in the room
41720	46280	We turn the main camera off and we said now. What do you think of this? Well, we don't understand it
47200	50940	Well, are you going to go back and tell your bosses what you saw? No
50940	55780	No. Why not? Well, we go back and tell them we see zero pollution after we just spent
55780	63380	$50 million to get 1% or 2% improvement, and we look like dummies. So we're going to go
63380	67240	back and tell them this shit doesn't work. You were talking about putting this thing
67240	72000	on a diesel for a monster truck, right? Well, we've had them on trucks. I sold one diesel
72000	78520	Peterbilt I had here, or Freightliner. I sold that for $65,000. Now, is the size of the
78520	82940	tube and the gate, is that almost like the displacement of a cylinder normally, kind of?
82940	87240	Well, you're comparing it to an engine again. Sort of, kind of. It makes fuel for anything
87240	92980	that uses fuel. I can fire up a little three horsepower engine and make enough fuel from
92980	100680	that engine to power a city. Yeah, because now it produces hydrogen, right? It's a hydrogen-like
100680	108160	substance and weight, but it does not explode, it implodes. Oh, okay, okay. So once you have
108160	113600	perfect burn going no pollution coming out the tailpipe and in most cases actually more oxygen
113600	119280	coming out the tailpipe than there is in the air at that point you're making so much energy
119280	126640	you don't need it all yeah we have more energy coming off the exhaust pipe than you get off the
126640	135040	shaft of the engine yeah so we're doing uh when william shatner called up and we chatted with him
135040	140480	he said it sounded like star trek technology and i laughed i said well if you remember the first
140480	147680	few episodes where they sent scotty up the tube up the plasma reactor to fix the plasma reactor
147680	153200	you saw this big glass crystal tube with a pipe inside it and a rod inside it
154160	158240	the shape of the rod wasn't right but everything else was right and when they were showing the
158240	163920	lightning bolts going through it that's exactly what's happening in the geek so he starts laughing
163920	169000	and go, you need to tell me this is another invention that we first got to show on Star
169000	170000	Trek?
170000	171300	I'm writing a book about this.
