start	end	text
0	7000	Let me see, any quick comments you can give me about, as the inventor of the device, how
7000	9000	did this idea come to you, I guess?
9000	11000	Oh, that's a whole video, come on.
11000	12000	Oh, okay.
12000	16000	So, but it does use a vortex, it creates a plasm ball, and it is a really unique design.
16000	19000	It doesn't have the normal flow through, it seems like, the regular engine mine.
19000	24000	No, we have so far made 197 discoveries that are documentable and replicated.
24000	29000	We have four that have come in in the last week we have not yet been able to replicate.
29000	32000	These are from different people who have built gates from our plants,
32000	35000	and they keep finding more and more discoveries in science.
35000	38000	So right now we're at the tip of the iceberg,
38000	41000	and I'm going to concentrate starting out tomorrow
41000	44000	on just writing a book about all the different things.
44000	46000	Well, there were two things that impressed me about this device.
46000	49000	Again, just as kind of an outsider's perspective, I guess.
49000	51000	The first one being, you know, with alternative science stuff,
51000	53000	it's always, is this thing a real device?
53000	56000	And obviously your device runs, it runs great.
56000	58000	The second being, in terms of people who might be saying,
58000	62240	who might be saying well you know there's a hoax here it runs a regular engine obviously you've
62240	66560	mixed sugar with gasoline you run it off water you run it off all sorts of stuff as long as
66560	71120	there's a little bit of fuel there it runs great so we can pretty much rule out any kind of strange
71120	75840	stuff that people might accuse you of right well we can also use just water if we wanted to but
75840	81360	that's not politically correct yeah we can use salt water if we want everything is a fuel if it
81360	85680	can be vaporized it's fuel and once it's a plasma it's all a little bit more combustible than normal
85680	89720	Well, it is no longer hydrogen or any normal element that's on the atomic chart.
89840	91000	We have a new element here.
91400	93100	It does not explode, it implodes.
94860	97820	Almost like, almost sounds reminiscent of the hydrenos.
99160	101240	Some people have compared it to a lot of things.
101520	102780	Yeah, yeah.
103040	106520	Inside, we'll go show you the books in just a minute, on all the different things.
106600	108460	When you say, well, how do we know this isn't a hoax?
108760	114640	Well, if it was a hoax, why would MIT come out and look at this, run back, and make one little change?
114640	118880	Instead of using the exhaust from the engine, they have an electric heater with a fan behind
118880	121180	it, and they got a patent.
121180	123880	Millions of dollars for R&D by our great government.
123880	128420	You know, the strange thing, though, is I haven't heard hide nor hair about this from
128420	129420	the government.
129420	132520	So if MIT has it, maybe they're sitting on it or something.
132520	139320	Well, no, MIT released it about the same time as we had OPEC at our house talking to
139320	140640	us.
140640	144000	When they released it publicly in November of 1999,
144000	147020	they were attacked by university professors all over Europe
147020	149260	who had written letters to the Nobel Prize Committee
149260	152460	saying that my wife and I should be nominated for the Nobel
152460	152960	Prize.
152960	154300	Well, again, it's highly demonstrable.
154300	155340	Highly demonstrable.
155340	156400	That has street cred.
156400	158260	But then they turned around and attacked MIT,
158260	159800	saying, you're a bunch of thieves.
159800	160480	That isn't yours.
160480	161840	That's Paul Pantone's.
161840	164160	You know, I'd heard something similar from Eugene Malove
164160	166020	about MIT a while back.
166020	167900	Yes, as a matter of fact, a couple of weeks
167900	170680	before he was murdered, Eugene called me up
170680	172200	and gave me the names and phone numbers
172200	174560	of a lot of other scientists from MIT
174560	177020	that would probably financially back this.
177020	179420	But he said, the strings are every university
179420	181560	wants to have their name on a technology,
181560	183460	and they want the inventor's name removed.
183460	184640	Sure, sure.
184640	186320	He warned me of this ahead of time.
186320	188020	Yeah, but you are nonetheless making
188020	189020	wonderful progress with it.
189020	189740	It's a wonderful tool.
189740	191000	It's now being taught in Paris.
191000	193500	There's a classroom over there teaching it.
193500	195860	We've had people getting engineering degrees in Europe,
195860	197140	but not here.
197140	199840	And we're accepted into European universities and not here.
200280	202900	Yeah, I've heard that also with a number of different technologies.
203640	207980	So right now we're gearing up to start worldwide production outside of the United States.
208520	208880	Absolutely.
209040	211760	Well, again, you're Paul Pantone, and this is the Geet Technology,
211960	215320	and you're online at geetget.com.
215320	216020	You got it.
