start	end	text
0	4000	Does that need to think that people all over the world are using your invention?
4000	8000	It feels great. We're opening a school in two weeks.
8000	12000	People are here for training in the Netherlands, and in four weeks
12000	16000	we'll be opening our school in Australia.
16000	20000	It's called the GEET system, a fuel booster system that connects to any engine.
20000	24000	Inventor Paul Patone says it creates zero pollution.
24000	28000	So how does it work? Patone says the complex pipe system vaporizes the fuel
28000	32200	before it reaches the engine, so the soda never actually reaches the engine.
32660	36260	To make it run, some gasoline or diesel fuel has to be mixed with the soda,
36660	38680	but Tone says it's getting global attention.
40940	46620	Tractors, trucks, all over the world, people are building it, all different shapes, configurations.
47380	50100	And you can download the system's plans for free.
50240	54780	For more information on creating your own fuel booster, just log on to casa.com.
54780	57940	The Cash for Clunkers program is running out of money.
58120	62960	The House stepped in with $2 billion in new stimulus funds, but they still need this.
63260	69440	Some federal stimulus money is headed to Las Cruces and Santa Fe to spruce up its transit systems.
69860	71640	In all, both cities will get $3 million.
72200	75480	The money will buy new buses and be used toward maintenance upgrades.
75800	78740	And the city of Santa Fe will also beef up its transit security.
78740	84940	A total of $12 million will go toward dozens of similar transit projects across the state.
85580	89820	Did you ever consider using soda pop instead of gasoline in your vehicle?
90280	93040	We know caffeine fuels people, but cars too?
93480	98900	One inventor is taking alternative fuels to the limits and filling up his tank with Mountain Dew.
99260	100280	And it works.
100680	103800	KRQE News 13's Kelly LaVoy joins us from downtown with more.
104680	109860	Marie, it's an invention to make the world a cleaner place, but people are really having fun with it.
109980	115180	Besides soda, how about using coffee or even pickle juice to start up your engine?
116760	119140	Okay, I'm going to start out with about 120%.
119140	125040	In front of a dozen unlockers, inventor Paul Patone showed people what a few drops of dew can do.
125380	127340	It's an invention 30 years in the making.
127340	131920	It's called the heat system, a fuel booster system that connects to any engine.
131920	137600	The best part, Patone says, whatever alternative fuel you add, it creates zero pollution.
138180	139380	So how does it work?
139680	146020	What we do running an engine, Patone says the complex pipe system vaporizes the fuel before it reaches the engine.
146440	149320	So the soda never actually reaches the engine.
150660	152680	I haven't invented the engine.
152900	155460	All I've invented is the fuel delivery system.
156240	160420	And this system will fit a gas engine, a diesel engine, a furnace, a boiler.
160420	163060	don't fit anything, including jet turkeys.
163720	168200	To make it run beside soda, gasoline, or diesel fuel has to be mixed in with it.
168500	171780	But people all over the world are getting even more creative.
171940	174960	They're using his invention on tractors and lawnmowers.
175300	175760	Back to you.
176180	176720	Thanks, Kelly.
176880	179620	And you can download the system's plans for free.
