Thrasher Immigration 

 Thrasher Places 

 Name, State, County, Type 
Thrasher Bluff, AL, Marshall, cliff 
Thrasher Cemetery, AL, Bibb, cemetery 
Thrasher Cemetery, AL, Elmore, cemetery 
Thrasher Cemetery, AL,,Etowah, cemetery 
Thrasher Cemetery, AL, Lawrence, cemetery 
Thrasher Cemetery, AL, Pickens, cemetery 
Thrasher Coal Bed Mine, AL, Walker, mine 
Thrasher Crossroads, AL, Cullman, pop place 
Thrasher Dam, AL, Calhoun, dam 
Thrasher Lake, AL, Calhoun, reservoir 
Thrasher School, (Historical), AL, Etowah, school 
Thrashers Crossroads, AL, Etowah, locale 

Thrasher (historical), AR, Hempstead, pop place 

Thrasher Park, CA, Alameda, park 

Thrasher Brook, CT, Tolland, stream 

Thrasher Nest Pond, FL, Washington, lake 
Thrasher Ridges, FL, Pasco, ridge 

Thrasher Cemetery, GA, Oconee, cemetery 
Thrasher Building, Atlanta, GA, Building 

Thrasher Creek, ID, Clearwater, stream 

Thrashers Cemetery, KY, Hancock, cemetery 

Thresher Branch, LA, Bienville, stream 

Thrasher Brook, MA, Hampden, stream 

Thrasher Peaks, ME, Oxford, summit 

Thrasher Creek, MI, Midland, stream 

Thrasher Lake, MN, Cook, lake 

Thrasher Cemetery, MO, Newton, cemetery 
Thrasher Chapel Cemetery, MO, Marion, cemetery 

Thrasher, MS, Prentiss, pop place 
Thrasher Baptist Church, MS, Prentiss, church 
Thrasher Methodist Church, MS, Prentiss, church 

Thrasher Hill, NH, Cheshire, summit 

Thrasher Mine, NV, Pershing, mine 

Thrasher Branch, SC, Lexington, stream 

Thrasher Elementary School, TN, Hamilton, school 
Thrashers Quarry, TN, Knox, mine 

Thrasher Lake, VA, Amherst, reservoir 
Thrasher Memorial United Methodist Church, VA, Roanoke, church 
Thrashers Creek, VA, Amherst, stream 
Thresher Park, VA, Roanoke, park 

Thresher Hill, VT, Orange, summit 

Thrashers Corner, WA, Snohomish, pop place 

Thrasher Knob, WV, Hampshire, summit 
Thrasher Spring School (historical), WV, Hardy, school 

 Greg Wickenburg 

 Back to main page
