

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  PTS  AVG  REB  AVG  AST  AVG
M. Abdul-Rauf   11  170 15.5   16  1.5   37  3.4
T. Abdul-Wahad  14   94  6.7   43  3.1   13  0.9
S. Abdur-Rahim  24  514 21.4  225  9.4   58  2.4
Michael Adams    1   10 10.0    2  2.0    4  4.0
Rafael Addison   4   40 10.0    8  2.0    4  1.0
C. Alexander     4   31  7.8    7  1.8    4  1.0
Cory Alexander  13   80  6.2   36  2.8   37  2.8
Jerome Allen     3   13  4.3    2  0.7    1  0.3
Malik Allen      5   19  3.8   23  4.6    1  0.2
Ray Allen       17  362 21.3   80  4.7   71  4.2
Derrick Alston   1    3  3.0    7  7.0    0  0.0
Rafer Alston     5   41  8.2    8  1.6    8  1.6
John Amaechi     8   11  1.4   17  2.1    3  0.4
Ashraf Amaya     2   20 10.0    8  4.0    1  0.5
Chris Andersen   6   23  3.8   29  4.8    3  0.5
Derek Anderson  18  250 13.9   73  4.1   66  3.7
Greg Anderson    9   18  2.0   31  3.4    4  0.4
Kenny Anderson  16  178 11.1   49  3.1  111  6.9
Nick Anderson   12   92  7.7   47  3.9   23  1.9
S. Anderson     25  251 10.0  112  4.5   56  2.2
Willie Anderson  1    4  4.0    7  7.0    3  3.0
Chris Anstey     2   19  9.5   18  9.0    2  1.0
Carmelo Anthony  4   79 19.8   33  8.2   13  3.2
Greg Anthony    21  188  9.0   31  1.5   85  4.0
Gilbert Arenas   7  117 16.7   43  6.1   49  7.0
B. Armstrong     2    2  1.0    0  0.0    0  0.0
B.J. Armstrong   7   74 10.6   13  1.9   28  4.0
D. Armstrong    15  208 13.9   42  2.8   81  5.4
Carlos Arroyo    6   44  7.3    7  1.2   20  3.3
Ron Artest      10  167 16.7   72  7.2   28  2.8
Vincent Askew    5   27  5.4   18  3.6   17  3.4
Keith Askins     7   29  4.1   17  2.4    9  1.3
Chucky Atkins   11  101  9.2   19  1.7   39  3.5
Stacey Augmon   22  126  5.7   84  3.8   33  1.5
Stacy Augmon     1   10 10.0    3  3.0    1  1.0
Isaac Austin     8   71  8.9   46  5.8   19  2.4
Anthony Avent    4   16  4.0   19  4.8    2  0.5
William Avery    8   22  2.8    5  0.6   14  1.8
Dalibor Bagaric  3   14  4.7    3  1.0    2  0.7
Thurl Bailey     2    6  3.0    6  3.0    3  1.5
Toby Bailey      5   12  2.4    4  0.8    2  0.4
Vin Baker       20  323 16.1  161  8.1   48  2.4
Marcus Banks     2   10  5.0    1  0.5    3  1.5
Leandro Barbosa  4   22  5.5    5  1.2    9  2.2
Charles Barkley 14  233 16.6  193 13.8   53  3.8
Erick Barkley    1    4  4.0    0  0.0    0  0.0
Matt Barnes      2    1  0.5    6  3.0    0  0.0
Dana Barros     10  109 10.9   21  2.1   33  3.3
Brent Barry     27  329 12.2  113  4.2  101  3.7
Drew Barry       2    9  4.5    3  1.5    3  1.5
Jon Barry       25  142  5.7   60  2.4   57  2.3
Mengke Bateer    2    2  1.0    2  1.0    1  0.5
Mike Batiste     3   21  7.0    8  2.7    2  0.7
Tony Battie     13   98  7.5   84  6.5    8  0.6
Shane Battier   12  121 10.1   61  5.1   24  2.0
Lonny Baxter     2   16  8.0   11  5.5    2  1.0
Lonny Baxtor     1   10 10.0   10 10.0    0  0.0
Corey Beck       2    4  2.0    5  2.5    5  2.5
Raja Bell        6   84 14.0   14  2.3   14  2.3
Jonathan Bender  5   22  4.4    7  1.4    5  1.0
Benoit Benjamin  4   41 10.2   21  5.2    5  1.2
Corey Benjamin   5   30  6.0    4  0.8    3  0.6
Mario Bennett    5   12  2.4    5  1.0    2  0.4
David Benoit     8   62  7.8   20  2.5    2  0.2
Travis Best     13  147 11.3   29  2.2   50  3.8
Mike Bibby      23  353 15.3   81  3.5  146  6.3
C. Billups      15  209 13.9   27  1.8   84  5.6
Steve Blake      2   12  6.0    2  1.0    6  3.0
Mookie Blaylock 14  158 11.3   58  4.1   68  4.9
Corie Blount    19   55  2.9   76  4.0   14  0.7
Mark Blount      7   66  9.4   32  4.6    4  0.6
Keith Bogans     2    9  4.5    9  4.5    1  0.5
Muggsy Bogues   12   63  5.2   23  1.9   57  4.8
E. Bohannon      2    3  1.5    5  2.5    1  0.5
Melvin Booker    2   12  6.0    5  2.5    5  2.5
Calvin Booth     7   68  9.7   29  4.1    5  0.7
Keith Booth      1    0  0.0    0  0.0    1  1.0
Carlos Boozer    4   59 14.8   40 10.0    5  1.2
