

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  MIN  AVG  FGM-FGA   PCT  3PM-3PA   PCT   FTM-FTA   PCT
M. Abdul-Rauf   11  275 25.0   65-135  0.481  18-40   0.450   22-27   0.815
T. Abdul-Wahad  14  273 19.5   38-92   0.413   0-6    0.000   18-28   0.643
S. Abdur-Rahim  24  887 37.0  181-376  0.481   6-21   0.286  146-178  0.820
Michael Adams    1   22 22.0    4-5    0.800   1-2    0.500    1-2    0.500
Rafael Addison   4   73 18.2   17-33   0.515   2-3    0.667    4-5    0.800
C. Alexander     4   65 16.2   12-24   0.500   1-2    0.500    6-6    1.000
Cory Alexander  13  242 18.6   28-69   0.406   9-31   0.290   15-22   0.682
Jerome Allen     3   23  7.7    5-10   0.500   3-4    0.750    0-0    0.000
Malik Allen      5   81 16.2    8-24   0.333   0-0    0.000    3-5    0.600
Ray Allen       17  630 37.1  124-279  0.444  36-102  0.353   78-83   0.940
Derrick Alston   1   12 12.0    1-5    0.200   0-0    0.000    1-2    0.500
Rafer Alston     5   92 18.4   15-36   0.417  10-20   0.500    1-3    0.333
John Amaechi     8   70  8.8    3-20   0.150   0-0    0.000    5-10   0.500
Ashraf Amaya     2   34 17.0    8-9    0.889   0-0    0.000    4-7    0.571
Chris Andersen   6   85 14.2    8-20   0.400   0-0    0.000    7-18   0.389
Derek Anderson  18  611 33.9   88-215  0.409  25-72   0.347   49-55   0.891
Greg Anderson    9   93 10.3    8-20   0.400   0-1    0.000    2-9    0.222
Kenny Anderson  16  490 30.6   62-165  0.376  15-39   0.385   39-42   0.929
Nick Anderson   12  312 26.0   33-87   0.379  18-44   0.409    8-16   0.500
S. Anderson     25  616 24.6   96-189  0.508  16-42   0.381   43-64   0.672
Willie Anderson  1   31 31.0    2-6    0.333   0-1    0.000    0-0    0.000
Chris Anstey     2   36 18.0    6-21   0.286   0-1    0.000    7-7    1.000
Carmelo Anthony  4  150 37.5   30-72   0.417   3-15   0.200   16-21   0.762
Greg Anthony    21  456 21.7   68-158  0.430  32-77   0.416   20-30   0.667
Gilbert Arenas   7  242 34.6   47-107  0.439  10-41   0.244   13-17   0.765
B. Armstrong     2   12  6.0    1-1    1.000   0-0    0.000    0-0    0.000
B.J. Armstrong   7  180 25.7   26-49   0.531   9-17   0.529   13-14   0.929
D. Armstrong    15  419 27.9   68-152  0.447  26-68   0.382   46-57   0.807
Carlos Arroyo    6  109 18.2   18-41   0.439   2-7    0.286    6-7    0.857
Ron Artest      10  316 31.6   65-141  0.461   8-26   0.308   29-39   0.744
Vincent Askew    5  102 20.4   11-35   0.314   2-7    0.286    3-4    0.750
Keith Askins     7  100 14.3    9-19   0.474   6-13   0.462    5-6    0.833
Chucky Atkins   11  272 24.7   40-106  0.377  13-40   0.325    8-11   0.727
Stacey Augmon   22  454 20.6   50-119  0.420   0-3    0.000   26-38   0.684
Stacy Augmon     1   27 27.0    4-8    0.500   0-0    0.000    2-2    1.000
Isaac Austin     8  190 23.8   31-62   0.500   0-1    0.000    9-11   0.818
Anthony Avent    4   50 12.5    6-17   0.353   0-0    0.000    4-8    0.500
William Avery    8   68  8.5    8-31   0.258   3-17   0.176    3-4    0.750
Dalibor Bagaric  3   27  9.0    5-9    0.556   0-1    0.000    4-6    0.667
Thurl Bailey     2   25 12.5    1-5    0.200   0-0    0.000    4-4    1.000
Toby Bailey      5   32  6.4    5-8    0.625   0-0    0.000    2-2    1.000
Vin Baker       20  692 34.6  132-270  0.489   0-3    0.000   59-94   0.628
Marcus Banks     2   17  8.5    3-10   0.300   0-0    0.000    4-4    1.000
Leandro Barbosa  4   72 18.0    8-24   0.333   5-12   0.417    1-1    1.000
Charles Barkley 14  465 33.2   79-160  0.494   8-20   0.400   67-93   0.720
Erick Barkley    1    4  4.0    2-4    0.500   0-1    0.000    0-0    0.000
Matt Barnes      2   16  8.0    0-1    0.000   0-0    0.000    1-2    0.500
Dana Barros     10  246 24.6   42-80   0.525  15-31   0.484   10-11   0.909
Brent Barry     27  807 29.9  120-239  0.502  50-122  0.410   39-50   0.780
Drew Barry       2   27 13.5    2-7    0.286   2-4    0.500    3-5    0.600
Jon Barry       25  411 16.4   47-130  0.362  16-67   0.239   32-36   0.889
Mengke Bateer    2   13  6.5    1-5    0.200   0-0    0.000    0-0    0.000
Mike Batiste     3   60 20.0    7-18   0.389   0-2    0.000    7-8    0.875
Tony Battie     13  275 21.2   44-85   0.518   0-2    0.000   10-20   0.500
Shane Battier   12  361 30.1   40-97   0.412  16-37   0.432   25-32   0.781
Lonny Baxter     2   21 10.5    7-8    0.875   0-0    0.000    2-2    1.000
Lonny Baxtor     1   18 18.0    5-8    0.625   0-0    0.000    0-4    0.000
Corey Beck       2   45 22.5    1-6    0.167   0-0    0.000    2-2    1.000
Raja Bell        6  147 24.5   29-61   0.475   9-18   0.500   17-20   0.850
Jonathan Bender  5   50 10.0    7-20   0.350   0-3    0.000    8-11   0.727
Benoit Benjamin  4   96 24.0   16-34   0.471   0-0    0.000    9-12   0.750
Corey Benjamin   5   50 10.0   12-23   0.522   2-6    0.333    4-7    0.571
Mario Bennett    5   22  4.4    5-7    0.714   0-1    0.000    2-2    1.000
David Benoit     8  130 16.2   23-42   0.548   8-18   0.444    8-10   0.800
Travis Best     13  341 26.2   54-109  0.495  14-23   0.609   25-28   0.893
Mike Bibby      23  840 36.5  137-311  0.441  25-70   0.357   54-67   0.806
C. Billups      15  410 27.3   69-164  0.421  27-69   0.391   44-50   0.880
Steve Blake      2   35 17.5    4-12   0.333   1-6    0.167    3-4    0.750
Mookie Blaylock 14  435 31.1   63-165  0.382  24-62   0.387    8-13   0.615
Corie Blount    19  277 14.6   24-64   0.375   0-1    0.000    7-13   0.538
Mark Blount      7  128 18.3   27-42   0.643   0-0    0.000   12-15   0.800
Keith Bogans     2   56 28.0    4-15   0.267   1-7    0.143    0-2    0.000
Muggsy Bogues   12  280 23.3   28-62   0.452   0-7    0.000    7-8    0.875
E. Bohannon      2   12  6.0    0-0    0.000   0-0    0.000    3-4    0.750
Melvin Booker    2   37 18.5    5-11   0.455   0-3    0.000    2-3    0.667
Calvin Booth     7  135 19.3   25-41   0.610   0-1    0.000   18-18   1.000
Keith Booth      1   10 10.0    0-1    0.000   0-0    0.000    0-0    0.000
Carlos Boozer    4   99 24.8   23-39   0.590   0-0    0.000   13-15   0.867
