
Season        Salary Cap      Average Player Salary 
2017-18     $99.093 million   TBD
2016-17     $94.143 million   TBD
2015-16     $70 million       $5,198,117
2014-15     $63.065 million   $4,763,738
2013-14     $58.679 million   $4,809,941
2012-13     $58.044 million   $4,732,305
2011-12     $58.044 million   $4,755,394
2010-11     $58.044 million   $4,844,041
2009-10     $57.7 million     $4,899,128
2008-09     $58.68 million    $4,918,891
2007-08     $55.63 million    $4,476,272
2006-07     $53.136 million   $4,119,271
2005-06     $49.5 million     $4,037,899
2004-05     $43.87 million    $3,864,241
2003-04     $43.84 million    $4,917,000
2002-03     $40.27 million    $4,546,000
2001-02     $42.5 million     $4,500,000
2000-01     $35.5 million     $4,200,000
1999-00     $34.0 million     $3,600,000
1998-99     $30.0 million     $3,000,000
1997-98     $26.9 million     $2,600,000
1996-97     $24.4 million     $2,300,000
1995-96     $23.0 million     $2,000,000
1994-95     $15.9 million     $1,800,000
1993-94     $15.1 million     $1,500,000
1992-93     $14.0 million     $1,300,000
1991-92     $12.5 million     $1,100,000
1990-91     $11.9 million       $927,000
1989-90      $9.8 million       $717,000
1988-89      $7.2 million       $575,000
1987-88      $6.2 million       $502,000
1986-87      $4.9 million       $431,000
1985-86      $4.2 million       $382,000
1984-85      $3.6 million       $330,000

