start	end	text
0	11000	Waste oil and rubbish, paints in it.
11000	15000	Big shit pedal, carry gum and wild honey.
24000	27000	Don't laugh if it doesn't run.
27000	30500	Some people have seen it running, huh Roy?
30500	34000	Yeah, for sure. So that's proof that it could run.
57000	86980	Thank you.
87000	116980	Thank you.
117000	123140	Something wrong.
147760	149640	We're in here.
153580	156040	The Exit number of the D loot.
163540	164960	Then there are three barrels.
165680	167540	Then we are on the gate front.
171960	174460	The base is on the 2nd through front.
177000	206980	1, 2, 3, 2.
207000	227000	I'm going to put it in a bit of phase oil and it's just a bit of started.
227000	232000	I can do a split chip or a hill, but then I have to put on that one.
232000	236000	It's running on them from the water that they carry.
